Usual Hours Worked,Education (yrs),Yearly Earnings,Race,Sex,Usual Weekly Earnings,State,Month in Sample
50,16,28000,White,Female,.,Ohio,2
40,18,50000,White,Male,.,Ohio,1
45,18,29190,White,Male,.,Ohio,2
44,12,38000,White,Female,577,Ohio,4
50,13,10000,White,Female,150,Ohio,4
45,12,25500,White,Female,510,Ohio,8
40,12,23000,White,Female,356,Ohio,4
50,12,50000,White,Male,.,Ohio,1
0,13,0,White,Male,.,Ohio,8
35,12,0,White,Female,.,Ohio,8
40,16,25000,White,Female,.,Ohio,1
40,12,24000,White,Male,.,Ohio,1
40,12,12000,White,Male,.,Ohio,5
40,12,27949,White,Female,.,Ohio,7
40,16,40000,White,Male,.,Ohio,7
35,14,34000,White,Female,.,Ohio,6
40,12,17000,White,Female,.,Ohio,1
60,13,0,White,Male,.,Ohio,2
60,12,13920,White,Male,240,Ohio,4
40,12,10280,White,Female,290,Ohio,4
45,12,60000,White,Female,.,Ohio,2
40,13,50000,White,Male,.,Ohio,6
40,12,15000,AsianPI,Female,.,Ohio,6
40,16,31000,White,Female,.,Ohio,6
40,16,19200,White,Male,.,Ohio,6
40,16,30000,White,Female,.,Ohio,6
65,18,65000,White,Male,.,Ohio,6
35,12,52000,White,Male,.,Ohio,6
40,12,41600,White,Male,.,Ohio,7
40,13,30000,White,Female,300,Ohio,8
60,16,25000,White,Male,.,Ohio,3
40,16,25000,White,Female,.,Ohio,3
40,16,23000,White,Male,.,Ohio,3
35,16,25500,White,Female,.,Ohio,3
50,12,31000,White,Male,.,Ohio,2
40,13,24000,Black,Female,.,Ohio,2
40,12,50000,Black,Male,.,Ohio,2
40,16,36000,White,Female,.,Ohio,6
40,13,28000,White,Female,.,Ohio,6
40,12,36000,White,Female,.,Ohio,5
40,13,50000,White,Male,.,Ohio,6
48,13,12000,White,Male,.,Ohio,6
40,18,83500,Black,Female,.,Ohio,5
40,18,30000,White,Male,.,Ohio,5
40,18,31000,AsianPI,Female,.,Ohio,5
0,12,28800,White,Male,283,Ohio,8
50,16,57000,White,Male,.,Ohio,3
45,16,28000,White,Female,.,Ohio,3
40,12,19000,White,Female,.,Ohio,3
40,16,100406,White,Male,1538,Ohio,4
40,13,42000,White,Female,461,Ohio,8
40,12,27000,White,Male,1923,Ohio,8
40,11,10920,White,Female,.,Ohio,3
40,12,20000,White,Male,.,Ohio,3
40,12,20000,White,Female,.,Ohio,3
70,16,306731,White,Male,.,Ohio,6
50,16,19400,White,Female,.,Ohio,2
55,16,65000,White,Male,.,Ohio,2
45,13,50000,White,Female,.,Ohio,2
40,18,37000,White,Female,.,Ohio,3
40,12,58000,White,Male,505,Ohio,4
40,12,58000,White,Female,200,Ohio,4
36,12,0,White,Male,.,Ohio,8
40,12,27500,White,Male,.,Ohio,7
40,13,10000,White,Male,.,Ohio,2
60,18,69000,White,Male,.,Ohio,2
52,12,18720,Black,Male,.,Ohio,5
40,16,6400,White,Male,.,Ohio,3
40,12,44196,White,Male,.,Ohio,3
40,12,12000,White,Female,.,Ohio,3
36,12,6000,White,Male,.,Ohio,6
60,16,60000,White,Male,.,Ohio,6
40,14,30000,White,Female,.,Ohio,7
40,13,60000,White,Male,.,Ohio,7
59,16,105001,White,Male,.,Ohio,6
40,13,20722,White,Female,.,Ohio,1
55,16,82198,White,Male,.,Ohio,1
50,13,40000,White,Female,769,Ohio,4
40,12,24568,White,Female,900,Ohio,4
40,13,0,White,Male,360,Ohio,4
53,12,18000,White,Female,.,Ohio,5
40,12,73771,White,Male,750,Ohio,4
60,16,30000,White,Male,.,Ohio,2
35,13,16400,White,Female,.,Ohio,2
50,16,0,Black,Female,.,Ohio,2
40,12,53900,Black,Male,.,Ohio,2
40,12,40000,White,Male,.,Ohio,5
40,12,22000,White,Female,.,Ohio,5
40,16,20000,White,Male,.,Ohio,5
46,16,20000,White,Female,.,Ohio,5
50,12,97000,White,Male,1827,Ohio,8
50,14,26000,White,Female,500,Ohio,8
60,18,44000,White,Female,.,Ohio,3
48,13,60000,White,Male,.,Ohio,7
40,13,25000,White,Female,.,Ohio,7
40,12,25000,White,Female,480,Ohio,4
45,18,53000,White,Female,1041,Ohio,8
40,13,61000,White,Female,.,Ohio,2
45,18,83000,White,Male,.,Ohio,2
44,13,12000,White,Female,.,Ohio,2
43,13,22000,White,Male,.,Ohio,2
40,18,81000,White,Male,.,Ohio,1
0,16,56000,White,Male,.,Ohio,1
40,16,30000,AsianPI,Male,.,Ohio,7
40,16,30000,AsianPI,Female,.,Ohio,7
40,16,36000,AsianPI,Male,.,Ohio,7
35,8,13000,White,Female,.,Ohio,3
40,10,28000,White,Male,.,Ohio,3
40,8,19000,White,Female,.,Ohio,3
40,16,5000,White,Female,280,Ohio,4
40,18,49000,White,Male,942,Ohio,4
40,16,35300,White,Male,1370,Ohio,4
40,12,15000,White,Female,300,Ohio,4
40,10,12999,White,Male,.,Ohio,5
42,18,36000,Black,Female,.,Ohio,5
40,12,30000,White,Male,.,Ohio,7
50,12,49800,White,Male,.,Ohio,5
40,12,26700,White,Female,.,Ohio,5
40,12,14560,White,Male,280,Ohio,4
40,12,40000,White,Male,865,Ohio,4
38,13,33000,White,Female,802,Ohio,4
0,13,29000,White,Female,380,Ohio,4
35,16,25000,White,Male,.,Ohio,3
55,16,45000,White,Male,.,Ohio,3
55,13,29000,White,Female,.,Ohio,3
45,12,30701,White,Male,1559,Ohio,8
35,12,0,White,Female,.,Ohio,7
40,14,30000,White,Female,.,Ohio,7
40,12,8000,White,Female,350,Ohio,4
40,13,14750,White,Male,.,Ohio,7
40,12,20840,White,Female,.,Ohio,6
40,12,53000,White,Male,.,Ohio,6
40,13,30493,White,Female,.,Ohio,7
50,12,7000,White,Female,.,Ohio,7
50,12,24000,White,Male,.,Ohio,7
40,12,27949,White,Female,.,Ohio,6
40,12,84000,White,Male,.,Ohio,6
90,13,34700,White,Male,653,Ohio,4
60,18,83000,White,Male,.,Ohio,1
60,18,38000,White,Male,.,Ohio,1
45,18,58000,White,Female,.,Ohio,1
37,14,47000,White,Male,904,Ohio,8
55,9,45000,White,Male,.,Ohio,6
50,18,45600,White,Female,.,Ohio,6
45,16,64000,White,Male,.,Ohio,6
80,16,8000,White,Female,.,Ohio,6
50,16,48000,White,Male,.,Ohio,1
75,13,84925,White,Male,.,Ohio,1
40,12,15000,Black,Male,880,Ohio,8
40,12,34000,Black,Female,423,Ohio,8
40,12,11520,White,Female,480,Ohio,8
40,13,30748,White,Male,.,Ohio,8
0,13,29690,White,Female,.,Ohio,8
40,18,70000,White,Male,.,Ohio,6
60,16,48000,White,Female,962,Ohio,4
0,12,33000,Black,Male,.,Ohio,2
0,13,40000,Black,Female,.,Ohio,2
40,16,55000,White,Male,.,Ohio,7
40,18,60000,White,Female,.,Ohio,7
40,11,26000,White,Female,.,Ohio,6
62,16,20000,Black,Female,.,Ohio,2
40,16,40000,White,Male,.,Ohio,6
45,16,28000,White,Male,.,Ohio,6
40,12,2000,White,Female,.,Ohio,6
40,12,25000,White,Male,.,Ohio,6
45,12,41000,White,Male,.,Ohio,6
42,18,49580,White,Female,.,Ohio,6
40,12,27000,White,Male,480,Ohio,8
40,10,20000,White,Female,300,Ohio,8
64,12,35000,White,Female,699,Ohio,8
40,8,5000,White,Male,324,Ohio,8
0,12,51000,White,Male,.,Ohio,3
0,12,27000,White,Female,.,Ohio,3
45,13,49000,White,Male,.,Ohio,7
40,12,20000,White,Female,.,Ohio,3
40,18,55000,White,Male,.,Ohio,3
40,16,30000,White,Female,.,Ohio,3
40,16,28000,White,Female,480,Ohio,4
45,16,60000,White,Female,.,Ohio,3
40,16,50000,White,Male,.,Ohio,3
52,12,13000,Black,Male,.,Ohio,6
40,11,18000,White,Female,320,Ohio,4
53,14,59000,White,Male,.,Ohio,7
60,16,75000,White,Male,1346,Ohio,4
45,18,48802,White,Female,939,Ohio,4
50,18,43000,White,Male,.,Ohio,6
50,16,0,White,Female,.,Ohio,6
40,16,25000,Black,Male,.,Ohio,5
40,16,24000,Black,Female,.,Ohio,6
35,13,7612,Black,Male,.,Ohio,6
40,13,25000,White,Male,.,Ohio,2
48,13,20000,White,Female,.,Ohio,2
40,12,48818,White,Male,.,Ohio,6
40,16,44000,Black,Male,740,Ohio,8
40,13,27500,Black,Female,360,Ohio,8
35,12,21000,White,Female,.,Ohio,3
50,16,64100,Black,Female,.,Ohio,2
42,13,22500,White,Female,.,Ohio,3
40,10,17900,White,Female,.,Ohio,3
45,18,36000,White,Male,.,Ohio,3
40,16,32000,White,Female,.,Ohio,3
50,16,26000,Black,Male,346,Ohio,4
40,16,26000,White,Female,519,Ohio,4
55,16,0,White,Male,.,Ohio,3
40,18,98500,White,Male,.,Ohio,1
42,16,38000,White,Female,.,Ohio,1
43,12,25000,White,Female,.,Ohio,2
40,11.5,20000,White,Male,.,Ohio,6
47,13,33000,White,Female,.,Ohio,2
60,18,77000,White,Male,.,Ohio,2
40,16,55000,White,Female,.,Ohio,2
35,10,11000,White,Female,253,Ohio,4
50,16,0,White,Male,.,Ohio,5
40,12,0,White,Female,.,Ohio,5
62,11.5,30000,Black,Female,.,Ohio,2
43,12,0,White,Male,.,Ohio,3
40,14,31000,Black,Female,.,Ohio,1
40,16,45000,White,Male,.,Ohio,1
40,12,49000,White,Male,.,Ohio,1
40,16,32000,White,Female,.,Ohio,1
40,12,42000,White,Male,.,Ohio,3
40,12,12300,White,Female,.,Ohio,3
52,12,15600,Black,Male,.,Ohio,3
42,13,31000,White,Female,.,Ohio,6
40,12,45000,White,Male,.,Ohio,6
55,13,28000,Black,Male,.,Ohio,5
40,12,38000,White,Male,.,Ohio,7
0,14,29932,White,Female,641,Ohio,8
40,12,37000,White,Male,450,Ohio,4
40,12,1300,White,Female,280,Ohio,4
40,12,18000,White,Female,.,Ohio,3
40,12,20000,White,Male,.,Ohio,3
55,12,20000,White,Male,.,Ohio,7
40,16,20000,White,Female,.,Ohio,7
45,16,27500,White,Female,.,Ohio,7
40,12,22000,White,Male,.,Ohio,7
40,10,12000,White,Female,.,Ohio,7
40,14,29236,White,Female,562,Ohio,4
40,12,8818,White,Male,600,Ohio,4
60,16,125000,White,Male,.,Ohio,6
40,13,20000,White,Male,.,Ohio,7
43,12,16700,White,Female,.,Ohio,7
40,16,58328,White,Male,.,Ohio,6
40,16,40000,White,Male,.,Ohio,3
50,16,12000,White,Female,.,Ohio,3
44,13,36500,Black,Male,.,Ohio,3
40,13,30000,AsianPI,Male,.,Ohio,3
40,16,37000,White,Male,654,Ohio,4
40,13,15950,White,Female,595,Ohio,4
40,14,32000,White,Male,629,Ohio,8
60,18,306731,White,Male,577,Ohio,8
40,16,52800,White,Male,1123,Ohio,8
40,16,25500,White,Female,500,Ohio,8
48,16,51108,White,Male,.,Ohio,7
38,12,28000,White,Female,.,Ohio,7
40,13,70000,White,Male,.,Ohio,7
40,16,33000,White,Female,.,Ohio,7
50,12,80000,White,Male,.,Ohio,6
40,12,22600,White,Female,.,Ohio,6
40,13,16500,White,Female,.,Ohio,6
60,16,20000,White,Male,.,Ohio,1
40,16,55000,White,Male,.,Ohio,2
45,13,7500,White,Female,.,Ohio,2
